Descriptor Name,Root Category,Descriptor Name Lower
(4-(m-Chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium Chloride,['D'],(4-(m-chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium chloride
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",['D'],"1,2-dihydroxybenzene-3,5-disulfonic acid disodium salt"
"1,2-Dimethylhydrazine",['D'],"1,2-dimethylhydrazine"
"1,2-Dipalmitoylphosphatidylcholine",['D'],"1,2-dipalmitoylphosphatidylcholine"
"1,4-alpha-Glucan Branching Enzyme",['D'],"1,4-alpha-glucan branching enzyme"
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine,['D'],1-(5-isoquinolinesulfonyl)-2-methylpiperazine
1-Acylglycerol-3-Phosphate O-Acyltransferase,['D'],1-acylglycerol-3-phosphate o-acyltransferase
1-Acylglycerophosphocholine O-Acyltransferase,['D'],1-acylglycerophosphocholine o-acyltransferase
1-Alkyl-2-acetylglycerophosphocholine Esterase,['D'],1-alkyl-2-acetylglycerophosphocholine esterase
1-Butanol,['D'],1-butanol
1-Carboxyglutamic Acid,['D'],1-carboxyglutamic acid
1-Deoxynojirimycin,['D'],1-deoxynojirimycin
1-Methyl-3-isobutylxanthine,['D'],1-methyl-3-isobutylxanthine
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",['D'],"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine"
1-Methyl-4-phenylpyridinium,['D'],1-methyl-4-phenylpyridinium
1-Naphthylamine,['D'],1-naphthylamine
1-Naphthylisothiocyanate,['D'],1-naphthylisothiocyanate
1-Octanol,['D'],1-octanol
1-Phosphatidylinositol 4-Kinase,['D'],1-phosphatidylinositol 4-kinase
1-Propanol,['D'],1-propanol
1-Pyrroline-5-Carboxylate Dehydrogenase,['D'],1-pyrroline-5-carboxylate dehydrogenase
1-Sarcosine-8-Isoleucine Angiotensin II,['D'],1-sarcosine-8-isoleucine angiotensin ii
